x	y	showSelected1
12	11	1
13	10	2
12	11	2
12	9	3
13	10	3
12	11	3
13	8	4
14	9	4
11	10	4
12	11	4
14	7	5
13	8	5
12	9	5
11	10	5
12	11	5
15	6	6
12	7	6
11	8	6
10	9	6
13	10	6
12	11	6
16	5	7
11	6	7
12	7	7
9	8	7
12	9	7
11	10	7
12	11	7
17	4	8
10	5	8
11	6	8
10	7	8
13	8	8
12	9	8
11	10	8
12	11	8
16	3	9
11	4	9
10	5	9
9	6	9
12	7	9
11	8	9
10	9	9
11	10	9
12	11	9
15	2	10
10	3	10
9	4	10
8	5	10
13	6	10
10	7	10
9	8	10
10	9	10
13	10	10
12	11	10
14	1	11
9	2	11
8	3	11
7	4	11
12	5	11
11	6	11
8	7	11
11	8	11
14	9	11
11	10	11
12	11	11
15	0	12
10	1	12
9	2	12
6	3	12
13	4	12
12	5	12
7	6	12
10	7	12
15	8	12
10	9	12
13	10	12
12	11	12
9	0	13
8	1	13
7	2	13
14	3	13
13	4	13
6	5	13
9	6	13
14	7	13
11	8	13
14	9	13
11	10	13
12	11	13
7	0	14
8	1	14
15	2	14
14	3	14
7	4	14
8	5	14
13	6	14
12	7	14
15	8	14
10	9	14
11	10	14
12	11	14
7	0	15
16	1	15
13	2	15
8	3	15
7	4	15
12	5	15
13	6	15
14	7	15
11	8	15
12	9	15
11	10	15
12	11	15
15	0	16
14	1	16
9	2	16
8	3	16
13	4	16
14	5	16
15	6	16
10	7	16
13	8	16
12	9	16
11	10	16
12	11	16
13	0	17
10	1	17
7	2	17
14	3	17
15	4	17
16	5	17
11	6	17
14	7	17
11	8	17
12	9	17
13	10	17
12	11	17
9	0	18
8	1	18
13	2	18
16	3	18
15	4	18
10	5	18
13	6	18
10	7	18
13	8	18
12	9	18
11	10	18
12	11	18
7	0	19
12	1	19
15	2	19
16	3	19
11	4	19
14	5	19
11	6	19
14	7	19
13	8	19
10	9	19
13	10	19
12	11	19
11	0	20
16	1	20
15	2	20
10	3	20
15	4	20
12	5	20
13	6	20
14	7	20
9	8	20
12	9	20
13	10	20
12	11	20
17	0	21
14	1	21
9	2	21
16	3	21
13	4	21
14	5	21
15	6	21
10	7	21
13	8	21
12	9	21
13	10	21
12	11	21
13	0	22
8	1	22
15	2	22
14	3	22
13	4	22
14	5	22
11	6	22
14	7	22
11	8	22
12	9	22
13	10	22
12	11	22
9	0	23
16	1	23
13	2	23
12	3	23
15	4	23
12	5	23
15	6	23
12	7	23
13	8	23
14	9	23
11	10	23
12	11	23
15	0	24
12	1	24
11	2	24
14	3	24
11	4	24
14	5	24
11	6	24
12	7	24
15	8	24
12	9	24
11	10	24
12	11	24
13	0	25
12	1	25
13	2	25
12	3	25
15	4	25
12	5	25
11	6	25
14	7	25
13	8	25
10	9	25
11	10	25
12	11	25
13	0	26
12	1	26
13	2	26
16	3	26
11	4	26
12	5	26
13	6	26
14	7	26
9	8	26
12	9	26
11	10	26
12	11	26
11	0	27
14	1	27
17	2	27
10	3	27
13	4	27
12	5	27
13	6	27
10	7	27
11	8	27
10	9	27
11	10	27
12	11	27
13	0	28
16	1	28
9	2	28
12	3	28
11	4	28
12	5	28
11	6	28
12	7	28
9	8	28
10	9	28
13	10	28
12	11	28
17	0	29
10	1	29
11	2	29
12	3	29
13	4	29
10	5	29
13	6	29
10	7	29
9	8	29
12	9	29
13	10	29
12	11	29
9	0	30
12	1	30
11	2	30
14	3	30
9	4	30
14	5	30
9	6	30
10	7	30
13	8	30
12	9	30
11	10	30
12	11	30
11	0	31
10	1	31
15	2	31
8	3	31
15	4	31
10	5	31
9	6	31
14	7	31
11	8	31
12	9	31
13	10	31
12	11	31
11	0	32
16	1	32
9	2	32
14	3	32
11	4	32
10	5	32
13	6	32
10	7	32
13	8	32
12	9	32
13	10	32
12	11	32
15	0	33
10	1	33
15	2	33
12	3	33
9	4	33
12	5	33
9	6	33
14	7	33
13	8	33
14	9	33
11	10	33
12	11	33
9	0	34
14	1	34
11	2	34
8	3	34
13	4	34
8	5	34
15	6	34
14	7	34
15	8	34
10	9	34
11	10	34
12	11	34
13	0	35
10	1	35
7	2	35
14	3	35
7	4	35
14	5	35
13	6	35
16	7	35
9	8	35
12	9	35
13	10	35
12	11	35
11	0	36
6	1	36
13	2	36
6	3	36
13	4	36
12	5	36
17	6	36
10	7	36
11	8	36
12	9	36
13	10	36
12	11	36
5	0	37
12	1	37
5	2	37
